1610612747,Los Angeles Lakers,82,21,61,0.256000,48.6,37.200000,85.600000,0.435,6.500000,18.900000,0.344,17.500000,23.600000,0.741,11.600000,32.300000,43.900000,20.900000,13.2000000000000000000000,7.000000,4.500000,4.800000,21.200000,19.400000,98.500000,-6.8000000000000000000000,1,27,27,27,3,19,9,25,25,25,17,12,11,23,8,13,12,21,5,22,22,17,21,23,19,27,10,Los Angeles Lakers
1610612763,Memphis Grizzlies,82,55,27,0.671000,48.5,37.800000,82.500000,0.458,5.200000,15.200000,0.339,17.600000,22.800000,0.773,10.400000,32.100000,42.600000,21.700000,13.3000000000000000000000,8.500000,4.200000,5.200000,19.100000,20.300000,98.300000,3.2000000000000000000000,1,5,5,5,6,14,23,9,29,29,22,10,14,7,21,15,21,15,7,6,24,20,9,15,20,8,10,Memphis Grizzlies
1610612748,Miami Heat,82,37,45,0.451000,48.1,35.200000,77.200000,0.456,6.800000,20.200000,0.335,17.500000,23.700000,0.741,9.100000,30.000000,39.100000,19.800000,14.8000000000000000000000,7.800000,4.500000,4.400000,20.000000,20.900000,94.700000,-2.6000000000000000000000,1,21,21,21,26,28,30,11,21,19,24,11,10,22,29,28,30,30,21,13,18,8,14,8,27,21,10,Miami Heat
1610612749,Milwaukee Bucks,82,41,41,0.500000,48.6,37.600000,82.000000,0.459,6.600000,18.300000,0.363,16.000000,21.100000,0.757,10.700000,31.400000,42.100000,23.600000,16.7000000000000000000000,9.600000,4.900000,4.800000,22.100000,20.100000,97.800000,0.4000000000000000000000,1,15,15,15,3,16,26,7,23,26,7,24,25,12,17,25,24,7,29,1,11,16,28,17,22,15,10,Milwaukee Bucks
1610612750,Minnesota Timberwolves,82,16,66,0.195000,48.3,36.400000,83.200000,0.438,5.000000,14.900000,0.332,20.000000,25.700000,0.776,11.600000,29.300000,40.900000,21.600000,15.0000000000000000000000,8.100000,4.000000,5.500000,19.200000,21.400000,97.800000,-8.8000000000000000000000,1,30,30,30,20,25,16,24,30,30,25,2,3,6,9,30,27,16,23,9,27,26,10,5,23,28,10,Minnesota Timberwolves
1610612740,New Orleans Pelicans,82,45,37,0.549000,48.2,37.900000,82.900000,0.457,7.100000,19.300000,0.37,16.400000,21.800000,0.751,11.500000,32.000000,43.500000,22.000000,13.3000000000000000000000,6.700000,6.200000,5.800000,18.700000,18.700000,99.400000,0.8000000000000000000000,1,13,13,13,23,11,19,10,19,23,4,20,20,17,10,19,16,11,6,25,1,28,6,29,16,13,10,New Orleans Pelicans
1610612752,New York Knicks,82,17,65,0.207000,48.4,35.100000,82.000000,0.428,6.800000,19.700000,0.347,14.800000,19.200000,0.769,10.600000,29.800000,40.400000,21.300000,14.7000000000000000000000,7.000000,4.700000,4.300000,21.600000,19.100000,91.900000,-9.3000000000000000000000,1,29,29,29,13,29,25,28,20,21,15,29,29,8,18,29,29,19,20,24,14,7,25,25,30,30,10,New York Knicks
1610612760,Oklahoma City Thunder,82,45,37,0.549000,48.4,38.800000,86.800000,0.447,7.700000,22.700000,0.339,18.600000,24.600000,0.754,12.800000,34.700000,47.500000,20.500000,14.7000000000000000000000,7.300000,5.500000,4.600000,22.300000,20.400000,104.000000,2.2000000000000000000000,1,13,13,13,18,6,4,18,16,14,23,6,6,15,1,2,1,25,19,21,6,12,29,12,5,12,10,Oklahoma City Thunder
1610612753,Orlando Magic,82,25,57,0.305000,48.2,37.500000,82.800000,0.453,6.800000,19.500000,0.347,13.900000,19.100000,0.729,10.000000,31.800000,41.800000,20.600000,14.9000000000000000000000,7.900000,3.800000,5.400000,20.900000,17.900000,95.700000,-5.7000000000000000000000,1,26,26,26,25,17,20,14,22,22,16,30,30,25,25,24,25,23,22,12,29,24,19,30,25,26,10,Orlando Magic
1610612755,Philadelphia 76ers,82,18,64,0.220000,48.3,33.700000,82.600000,0.408,8.400000,26.300000,0.32,16.100000,23.800000,0.676,11.900000,30.900000,42.900000,20.500000,17.7000000000000000000000,9.600000,5.900000,5.500000,21.700000,20.200000,92.000000,-9.0000000000000000000000,1,28,28,28,20,30,22,30,11,6,29,22,9,30,5,26,19,24,30,1,4,27,26,16,29,29,10,Philadelphia 76ers
1610612756,Phoenix Suns,82,39,43,0.476000,48.5,38.800000,85.800000,0.452,8.500000,25.000000,0.341,16.400000,21.500000,0.76,10.900000,32.200000,43.200000,20.200000,15.1000000000000000000000,8.500000,4.700000,4.100000,21.300000,20.300000,102.400000,-0.9000000000000000000000,1,17,17,17,8,7,6,15,10,10,21,21,21,11,13,14,17,27,25,6,12,5,23,14,11,19,10,Phoenix Suns
1610612757,Portland Trail Blazers,82,51,31,0.622000,48.4,38.700000,86.000000,0.45,9.800000,27.200000,0.362,15.500000,19.400000,0.801,10.700000,35.100000,45.900000,21.900000,13.6000000000000000000000,6.400000,4.500000,3.600000,18.200000,18.700000,102.800000,4.2000000000000000000000,1,8,8,8,13,8,5,17,6,3,8,27,28,1,16,1,2,12,9,27,18,3,2,28,9,6,10,Portland Trail Blazers
1610612758,Sacramento Kings,82,29,53,0.354000,48.4,36.700000,80.700000,0.455,5.600000,16.500000,0.341,22.300000,29.300000,0.762,10.900000,33.300000,44.200000,20.300000,16.3000000000000000000000,6.700000,4.000000,6.200000,20.700000,23.900000,101.300000,-3.7000000000000000000000,1,25,25,25,13,22,28,13,28,28,20,1,1,10,14,9,9,26,27,26,28,30,16,1,14,25,10,Sacramento Kings
1610612759,San Antonio Spurs,82,55,27,0.671000,48.7,39.100000,83.600000,0.468,8.300000,22.500000,0.367,16.700000,21.400000,0.78,9.800000,33.800000,43.600000,24.400000,14.0000000000000000000000,8.000000,5.400000,4.400000,19.100000,19.700000,103.200000,6.2000000000000000000000,1,5,5,5,1,4,11,3,12,15,6,17,23,4,27,8,15,5,13,11,8,9,8,19,7,3,10,San Antonio Spurs
1610612761,Toronto Raptors,82,49,33,0.598000,48.4,37.900000,83.300000,0.455,8.900000,25.100000,0.352,19.300000,24.600000,0.787,10.700000,30.800000,41.500000,20.700000,12.9000000000000000000000,7.500000,4.400000,5.000000,20.900000,20.300000,104.000000,3.1000000000000000000000,1,11,11,11,13,11,14,12,8,9,11,4,7,2,15,27,26,22,3,18,23,19,18,13,4,9,10,Toronto Raptors
1610612762,Utah Jazz,82,38,44,0.463000,48.1,35.400000,79.200000,0.447,7.400000,21.700000,0.343,17.000000,23.500000,0.721,12.000000,31.900000,44.000000,19.900000,15.3000000000000000000000,7.600000,6.000000,4.700000,19.300000,19.600000,95.100000,0.2000000000000000000000,1,18,18,18,30,27,29,19,18,17,19,14,13,26,4,20,11,29,26,16,3,13,12,22,26,17,10,Utah Jazz
1610612764,Washington Wizards,82,46,36,0.561000,48.7,38.300000,82.800000,0.462,6.100000,16.800000,0.36,15.900000,21.400000,0.742,10.500000,34.200000,44.700000,24.000000,15.0000000000000000000000,7.300000,4.600000,4.300000,20.800000,19.600000,98.500000,0.7000000000000000000000,1,12,12,12,1,9,21,6,27,27,9,25,22,21,19,5,8,6,24,20,16,6,17,21,17,14,10,Washington Wizards
